Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches,Team,Playing Time.3
Emile Smith Rowe,eng ENG,MF,24.0,,11,854.0,9.5,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,2.2,2.2,0.8,2.9,30.0,65.0,54.0,0.32,0.21,0.53,0.32,0.53,0.23,0.08,0.31,0.23,0.31,Matches,Fulham,12.0
Adama Traore,es ESP,"FW,MF",28.0,,9,738.0,8.2,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,2.8,2.8,2.2,5.0,44.0,28.0,64.0,0.12,0.37,0.49,0.12,0.49,0.34,0.27,0.61,0.34,0.61,Matches,Fulham,12.0
Raul Jimenez,mx MEX,FW,33.0,,9,734.0,8.2,4.0,2.0,6.0,3.0,1.0,1.0,0.0,0.0,4.3,3.5,2.2,5.7,6.0,18.0,34.0,0.49,0.25,0.74,0.37,0.61,0.52,0.27,0.79,0.43,0.7,Matches,Fulham,12.0
Joachim Andersen,dk DEN,DF,28.0,,8,693.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.2,0.5,3.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,Fulham,8.0
Sasa Lukic,rs SRB,MF,28.0,,8,637.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.3,0.3,8.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Fulham,8.0
Sander Berge,no NOR,MF,26.0,,5,524.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,Fulham,9.0
Issa Diop,fr FRA,DF,27.0,,4,393.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.3,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches,Fulham,7.0
Reiss Nelson,eng ENG,FW,24.0,,3,356.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.7,1.6,34.0,28.0,51.0,0.25,0.25,0.51,0.25,0.51,0.23,0.17,0.4,0.23,0.4,Matches,Fulham,9.0
Rodrigo Muniz,br BRA,FW,23.0,,3,346.0,3.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.4,1.4,0.6,2.0,2.0,8.0,15.0,0.26,0.26,0.52,0.26,0.52,0.37,0.16,0.52,0.37,0.52,Matches,Fulham,11.0
Tom Cairney,sct SCO,MF,33.0,,0,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5,4.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.0,0.28,Matches,Fulham,9.0
Harry Wilson,wls WAL,"FW,MF",27.0,,0,112.0,1.2,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.7,0.7,0.0,0.7,3.0,6.0,17.0,2.41,0.0,2.41,2.41,2.41,0.59,0.0,0.59,0.59,0.59,Matches,Fulham,8.0
Harrison Reed,eng ENG,MF,29.0,,0,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.13,0.02,0.13,Matches,Fulham,8.0
Timothy Castagne,be BEL,DF,28.0,,0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,Fulham,3.0
Jorge Cuenca,es ESP,DF,25.0,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham,1.0
Jay Stansfield,eng ENG,MF,22.0,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham,1.0
Steven Benda,de GER,GK,26.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham,0.0
Joshua King,eng ENG,MF,17.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham,0.0
Ryan Sessegnon,eng ENG,"DF,FW",24.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham,0.0
Squad Total,,,28.3,,132,1080.0,12.0,17.0,16.0,33.0,16.0,1.0,2.0,30.0,1.0,18.0,16.4,14.9,31.3,256.0,534.0,531.0,1.42,1.33,2.75,1.33,2.67,1.5,1.24,2.74,1.37,2.61,,Fulham,12.0
Opponent Total,,,27.5,,132,1080.0,12.0,16.0,15.0,31.0,16.0,0.0,0.0,21.0,2.0,14.0,14.0,11.2,25.2,183.0,412.0,408.0,1.33,1.25,2.58,1.33,2.58,1.17,0.94,2.1,1.17,2.1,,Fulham,12.0
Nathan Collins,ie IRL,DF,23.0,12.0,12,1080.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,0.4,2.2,10.0,41.0,6.0,0.08,0.0,0.08,0.08,0.08,0.15,0.04,0.18,0.15,0.18,Matches,Brentford,
Mark Flekken,nl NED,GK,31.0,12.0,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,
Ethan Pinnock,jm JAM,DF,31.0,12.0,12,1080.0,12.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.9,0.9,0.9,1.8,1.0,26.0,4.0,0.17,0.0,0.17,0.17,0.17,0.07,0.08,0.15,0.07,0.15,Matches,Brentford,
Bryan Mbeumo,cm CMR,FW,25.0,12.0,12,1074.0,11.9,8.0,1.0,9.0,6.0,2.0,2.0,2.0,0.0,3.9,2.3,2.2,4.5,35.0,38.0,108.0,0.67,0.08,0.75,0.5,0.59,0.33,0.18,0.51,0.19,0.38,Matches,Brentford,
Vitaly Janelt,de GER,MF,26.0,12.0,12,987.0,11.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,1.6,2.0,8.0,37.0,18.0,0.09,0.27,0.36,0.09,0.36,0.04,0.14,0.18,0.04,0.18,Matches,Brentford,
Mikkel Damsgaard,dk DEN,"MF,FW",24.0,12.0,10,861.0,9.6,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,3.2,4.1,23.0,58.0,33.0,0.1,0.31,0.42,0.1,0.42,0.09,0.34,0.43,0.09,0.43,Matches,Brentford,
Keane Lewis-Potter,eng ENG,"DF,FW",23.0,12.0,10,855.0,9.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,1.0,1.9,26.0,25.0,49.0,0.0,0.11,0.11,0.0,0.11,0.09,0.11,0.2,0.09,0.2,Matches,Brentford,
Christian Nørgaard,dk DEN,MF,30.0,10.0,10,815.0,9.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.3,1.3,0.3,1.6,5.0,36.0,12.0,0.11,0.11,0.22,0.11,0.22,0.14,0.03,0.17,0.14,0.17,Matches,Brentford,
Sepp van den Berg,nl NED,DF,22.0,10.0,9,822.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.7,3.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,Matches,Brentford,
Kristoffer Ajer,no NOR,DF,26.0,8.0,8,636.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.2,0.5,14.0,25.0,12.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,Matches,Brentford,
Yoane Wissa,cd COD,FW,28.0,9.0,8,636.0,7.1,7.0,1.0,8.0,7.0,0.0,0.0,1.0,0.0,5.3,5.3,0.3,5.6,8.0,11.0,36.0,0.99,0.14,1.13,0.99,1.13,0.75,0.05,0.8,0.75,0.8,Matches,Brentford,
Kevin Schade,de GER,"FW,MF",23.0,12.0,5,506.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,0.1,1.6,13.0,7.0,37.0,0.0,0.0,0.0,0.0,0.0,0.26,0.02,0.28,0.26,0.28,Matches,Brentford,
Mathias Jensen,dk DEN,MF,28.0,7.0,5,438.0,4.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.8,1.0,5.0,31.0,15.0,0.0,0.21,0.21,0.0,0.21,0.05,0.16,0.21,0.05,0.21,Matches,Brentford,
Mads Roerslev,dk DEN,DF,25.0,9.0,4,448.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.6,1.6,7.0,29.0,30.0,0.0,0.2,0.2,0.0,0.2,0.0,0.32,0.32,0.0,0.32,Matches,Brentford,
Fabio Carvalho,pt POR,"FW,MF",22.0,11.0,2,290.0,3.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,0.5,2.0,5.0,7.0,13.0,0.31,0.31,0.62,0.31,0.62,0.46,0.16,0.63,0.46,0.63,Matches,Brentford,
Yehor Yarmoliuk,ua UKR,MF,20.0,8.0,1,149.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.3,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.14,0.02,0.15,0.14,0.15,Matches,Brentford,
Frank Onyeka,ng NGA,MF,26.0,2.0,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,
Yunus Emre Konak,tr TUR,"MF,FW",18.0,4.0,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.69,0.69,0.69,Matches,Brentford,
Thiago,br BRA,FW,23.0,1.0,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,
Ben Mee,eng ENG,"DF,FW",35.0,2.0,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,
Ryan Trevitt,eng ENG,MF,21.0,1.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,
Kim Jisoo,kr KOR,DF,19.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Edmond-Paris Maghoma,eng ENG,MF,23.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Jayden Meghoma,eng ENG,DF,18.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Myles Peart-Harris,eng ENG,MF,22.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Hakon Rafn Valdimarsson,is ISL,GK,23.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Tony Yogane,eng ENG,MF,19.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,
Squad Total,,,26.5,12.0,132,1080.0,12.0,22.0,13.0,35.0,20.0,2.0,2.0,17.0,1.0,19.3,17.7,13.3,31.0,165.0,402.0,397.0,1.83,1.08,2.92,1.67,2.75,1.61,1.11,2.72,1.47,2.59,,Brentford,
Opponent Total,,,27.5,12.0,132,1080.0,12.0,21.0,18.0,39.0,21.0,0.0,0.0,31.0,1.0,20.5,20.5,15.7,36.2,280.0,556.0,551.0,1.75,1.5,3.25,1.75,3.25,1.71,1.31,3.01,1.71,3.01,,Brentford,
Andre Onana,cm CMR,GK,28.0,,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Manchester-United,12.0
Diogo Dalot,pt POR,DF,25.0,,12,1046.0,11.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,1.1,1.8,11.0,44.0,40.0,0.0,0.09,0.09,0.0,0.09,0.06,0.1,0.16,0.06,0.16,Matches,Manchester-United,12.0
Bruno Fernandes,pt POR,"MF,FW",30.0,,12,1019.0,11.3,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,4.2,3.4,3.2,6.6,24.0,90.0,56.0,0.18,0.26,0.44,0.09,0.35,0.37,0.28,0.65,0.3,0.58,Matches,Manchester-United,12.0
Noussair Mazraoui,ma MAR,DF,27.0,,11,912.0,10.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.5,13.0,45.0,16.0,0.0,0.1,0.1,0.0,0.1,0.02,0.02,0.04,0.02,0.04,Matches,Manchester-United,12.0
Marcus Rashford,eng ENG,FW,27.0,,11,824.0,9.2,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.1,1.1,2.0,3.1,17.0,20.0,64.0,0.22,0.11,0.33,0.22,0.33,0.12,0.22,0.34,0.12,0.34,Matches,Manchester-United,12.0
Lisandro Martinez,ar ARG,DF,26.0,,10,886.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.1,0.9,5.0,58.0,5.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,Matches,Manchester-United,10.0
Matthijs de Ligt,nl NED,DF,25.0,,9,851.0,9.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,0.1,1.2,3.0,16.0,1.0,0.11,0.0,0.11,0.11,0.11,0.12,0.01,0.13,0.12,0.13,Matches,Manchester-United,12.0
Alejandro Garnacho,ar ARG,FW,20.0,,8,800.0,8.9,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,3.7,3.7,1.1,4.8,53.0,14.0,107.0,0.34,0.11,0.45,0.34,0.45,0.42,0.12,0.54,0.42,0.54,Matches,Manchester-United,12.0
Casemiro,br BRA,MF,32.0,,8,680.0,7.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.9,3.0,39.0,15.0,0.13,0.0,0.13,0.13,0.13,0.13,0.26,0.39,0.13,0.39,Matches,Manchester-United,11.0
Kobbie Mainoo,eng ENG,MF,19.0,,7,571.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.7,0.8,5.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.13,0.02,0.13,Matches,Manchester-United,7.0
Amad Diallo,ci CIV,"FW,DF",22.0,,6,572.0,6.4,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,1.5,2.3,39.0,25.0,72.0,0.16,0.47,0.63,0.16,0.63,0.13,0.23,0.36,0.13,0.36,Matches,Manchester-United,10.0
Christian Eriksen,dk DEN,MF,32.0,,6,507.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.7,1.8,4.0,27.0,15.0,0.0,0.0,0.0,0.0,0.0,0.02,0.29,0.31,0.02,0.31,Matches,Manchester-United,9.0
Rasmus Højlund,dk DEN,FW,21.0,,5,439.0,4.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,0.3,1.4,8.0,4.0,20.0,0.21,0.0,0.21,0.21,0.21,0.22,0.06,0.28,0.22,0.28,Matches,Manchester-United,8.0
Joshua Zirkzee,nl NED,"FW,MF",23.0,,4,457.0,5.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.7,2.7,0.6,3.3,3.0,15.0,20.0,0.2,0.2,0.39,0.2,0.39,0.52,0.12,0.65,0.52,0.65,Matches,Manchester-United,12.0
Manuel Ugarte Ribeiro,uy URU,MF,23.0,,3,316.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,3.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,Manchester-United,7.0
Jonny Evans,nir NIR,DF,36.0,,3,290.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Manchester-United,6.0
Harry Maguire,eng ENG,DF,31.0,,3,242.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.1,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,Manchester-United,5.0
Mason Mount,eng ENG,"MF,FW",25.0,,2,150.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.1,0.5,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.23,0.07,0.29,0.23,0.29,Matches,Manchester-United,4.0
Victor Lindelof,se SWE,"DF,MF",30.0,,0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,Manchester-United,4.0
Toby Collyer,eng ENG,MF,20.0,,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches,Manchester-United,1.0
Luke Shaw,eng ENG,DF,29.0,,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester-United,1.0
Antony,br BRA,FW,24.0,,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.47,0.22,0.7,0.47,0.7,Matches,Manchester-United,2.0
Scott McTominay,sct SCO,MF,27.0,,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches,Manchester-United,2.0
Harry Amass,eng ENG,DF,17.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-United,0.0
Altay Bayındır,tr TUR,GK,26.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-United,0.0
Jayce Fitzgerald,eng ENG,MF,17.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-United,0.0
Jack Fletcher,eng ENG,MF,17.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-United,0.0
Tom Heaton,eng ENG,GK,38.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-United,0.0
Tyrell Malacia,nl NED,DF,25.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-United,0.0
Ethan Wheatley,eng ENG,FW,18.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-United,0.0
Squad Total,,,26.7,,132,1080.0,12.0,12.0,11.0,23.0,11.0,1.0,1.0,33.0,1.0,18.2,17.4,15.2,32.6,196.0,469.0,460.0,1.0,0.92,1.92,0.92,1.83,1.51,1.27,2.78,1.45,2.72,,Manchester-United,12.0
Opponent Total,,,26.8,,132,1080.0,12.0,13.0,10.0,23.0,12.0,1.0,2.0,23.0,1.0,18.3,16.8,14.1,30.8,220.0,399.0,395.0,1.08,0.83,1.92,1.0,1.83,1.53,1.17,2.7,1.4,2.57,,Manchester-United,12.0
Illia Zabarnyi,ua UKR,DF,22.0,12.0,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,7.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,Bournemouth,
Lewis Cook,eng ENG,MF,27.0,12.0,12,1073.0,11.9,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,2.1,2.6,10.0,64.0,17.0,0.08,0.25,0.34,0.08,0.34,0.04,0.18,0.22,0.04,0.22,Matches,Bournemouth,
Antoine Semenyo,gh GHA,FW,24.0,12.0,12,1057.0,11.7,4.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0,4.1,4.1,2.3,6.4,48.0,27.0,96.0,0.34,0.09,0.43,0.34,0.43,0.35,0.19,0.55,0.35,0.55,Matches,Bournemouth,
Milos Kerkez,hu HUN,DF,21.0,12.0,12,1007.0,11.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.1,1.3,1.5,35.0,51.0,49.0,0.0,0.18,0.18,0.0,0.18,0.01,0.12,0.13,0.01,0.13,Matches,Bournemouth,
Marcus Tavernier,eng ENG,"MF,FW",25.0,12.0,10,893.0,9.9,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.6,2.6,1.8,4.4,23.0,57.0,62.0,0.1,0.2,0.3,0.1,0.3,0.26,0.18,0.44,0.26,0.44,Matches,Bournemouth,
Marcos Senesi,ar ARG,DF,27.0,10.0,10,836.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.3,1.1,11.0,44.0,3.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.11,0.09,0.11,Matches,Bournemouth,
Evanilson,br BRA,FW,25.0,11.0,10,797.0,8.9,4.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,4.5,3.7,0.7,4.4,9.0,5.0,24.0,0.45,0.0,0.45,0.45,0.45,0.51,0.08,0.59,0.42,0.5,Matches,Bournemouth,
Ryan Christie,sct SCO,MF,29.0,11.0,9,703.0,7.8,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,1.1,1.5,8.0,43.0,18.0,0.13,0.0,0.13,0.13,0.13,0.06,0.14,0.2,0.06,0.2,Matches,Bournemouth,
Justin Kluivert,nl NED,"MF,FW",25.0,12.0,9,699.0,7.8,2.0,2.0,4.0,1.0,1.0,1.0,4.0,0.0,2.3,1.5,1.3,2.8,16.0,29.0,53.0,0.26,0.26,0.52,0.13,0.39,0.29,0.17,0.46,0.19,0.36,Matches,Bournemouth,
Adam Smith,eng ENG,DF,33.0,12.0,7,681.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.1,0.7,2.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.09,0.08,0.09,Matches,Bournemouth,
Kepa Arrizabalaga,es ESP,GK,30.0,7.0,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,
Julian Araujo,mx MEX,DF,23.0,8.0,5,355.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,
Dango Ouattara,bf BFA,"FW,DF",22.0,9.0,4,440.0,4.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,1.6,3.1,24.0,7.0,50.0,0.2,0.2,0.41,0.2,0.41,0.31,0.32,0.64,0.31,0.64,Matches,Bournemouth,
Mark Travers,ie IRL,GK,25.0,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,
Alex Scott,eng ENG,MF,21.0,8.0,2,263.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,5.0,32.0,14.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.12,0.05,0.12,Matches,Bournemouth,
Dean Huijsen,es ESP,DF,19.0,6.0,2,245.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,3.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18,0.08,0.27,0.18,0.27,Matches,Bournemouth,
Neto,br BRA,GK,35.0,2.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,
Tyler Adams,us USA,MF,25.0,4.0,2,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.2,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.09,0.01,0.09,Matches,Bournemouth,
Luis Sinisterra,co COL,"FW,MF",25.0,8.0,1,208.0,2.3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,1.0,2.1,14.0,3.0,29.0,0.43,0.43,0.87,0.43,0.87,0.48,0.44,0.92,0.48,0.92,Matches,Bournemouth,
Enes Unal,tr TUR,"FW,MF",27.0,9.0,1,166.0,1.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.2,1.2,4.0,7.0,10.0,0.0,0.54,0.54,0.0,0.54,0.51,0.12,0.63,0.51,0.63,Matches,Bournemouth,
David Brooks,wls WAL,"FW,MF",27.0,5.0,0,65.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.8,5.0,6.0,20.0,1.38,0.0,1.38,1.38,1.38,0.28,0.83,1.1,0.28,1.1,Matches,Bournemouth,
