Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches,Team,Playing Time.3
Reiss Nelson,eng ENG,FW,24.0,,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,1.0
Nathan Butler-Oyedeji,eng ENG,FW,21.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Ayden Heaven,eng ENG,MF,18.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Ismeal Kabia,eng ENG,MF,18.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Maldini Kacurri,al ALB,DF,19.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Neto,br BRA,GK,35.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Josh Nichols,eng ENG,DF,18.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Eddie Nketiah,eng ENG,FW,25.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Salah Oulad M'Hand,nl NED,MF,21.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Aaron Ramsdale,eng ENG,GK,26.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Tommy Setford,eng ENG,GK,18.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,0.0
Squad Total,,,26.5,,132,1080.0,12.0,20.0,17.0,37.0,20.0,0.0,0.0,33.0,3.0,18.2,18.2,14.0,32.2,232.0,516.0,508.0,1.67,1.42,3.08,1.67,3.08,1.52,1.17,2.68,1.52,2.68,,Arsenal,12.0
Opponent Total,,,26.3,,132,1080.0,12.0,12.0,9.0,21.0,11.0,1.0,1.0,33.0,0.0,12.3,11.5,8.4,19.9,249.0,368.0,366.0,1.0,0.75,1.75,0.92,1.67,1.02,0.7,1.72,0.96,1.65,,Arsenal,12.0
Danny Welbeck,eng ENG,FW,34.0,12.0,12,1014.0,11.3,6.0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,5.1,5.1,0.5,5.6,9.0,25.0,43.0,0.53,0.18,0.71,0.53,0.71,0.45,0.05,0.5,0.45,0.5,Matches,Brighton-and-Hove-Albion,
Kaoru Mitoma,jp JPN,"FW,MF",27.0,12.0,11,1005.0,11.2,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.7,5.7,60.0,36.0,124.0,0.18,0.18,0.36,0.18,0.36,0.27,0.24,0.51,0.27,0.51,Matches,Brighton-and-Hove-Albion,
Joel Veltman,nl NED,DF,32.0,11.0,11,956.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.3,19.0,34.0,18.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,Brighton-and-Hove-Albion,
Bart Verbruggen,nl NED,GK,22.0,10.0,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton-and-Hove-Albion,
Jack Hinshelwood,eng ENG,"MF,DF",19.0,10.0,10,840.0,9.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,0.3,1.0,10.0,31.0,27.0,0.11,0.0,0.11,0.11,0.11,0.08,0.03,0.11,0.08,0.11,Matches,Brighton-and-Hove-Albion,
Jan Paul van Hecke,nl NED,DF,24.0,10.0,9,819.0,9.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.4,0.6,11.0,71.0,0.0,0.0,0.11,0.11,0.0,0.11,0.01,0.05,0.06,0.01,0.06,Matches,Brighton-and-Hove-Albion,
Georginio Rutter,fr FRA,"FW,MF",22.0,11.0,9,666.0,7.4,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,2.2,2.2,1.3,3.5,16.0,36.0,41.0,0.27,0.27,0.54,0.27,0.54,0.29,0.18,0.47,0.29,0.47,Matches,Brighton-and-Hove-Albion,
Lewis Dunk,eng ENG,DF,33.0,8.0,8,705.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.4,0.7,8.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.09,0.03,0.09,Matches,Brighton-and-Hove-Albion,
Carlos Baleba,cm CMR,MF,20.0,10.0,8,675.0,7.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.9,0.9,0.5,1.4,11.0,42.0,5.0,0.13,0.13,0.27,0.13,0.27,0.12,0.07,0.19,0.12,0.19,Matches,Brighton-and-Hove-Albion,
Pervis Estupinan,ec ECU,DF,26.0,9.0,6,614.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.8,1.0,17.0,34.0,39.0,0.0,0.0,0.0,0.0,0.0,0.03,0.11,0.14,0.03,0.14,Matches,Brighton-and-Hove-Albion,
Yasin Ayari,se SWE,MF,21.0,10.0,6,566.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.8,1.4,10.0,21.0,29.0,0.0,0.0,0.0,0.0,0.0,0.1,0.12,0.22,0.1,0.22,Matches,Brighton-and-Hove-Albion,
Igor,br BRA,DF,26.0,7.0,5,566.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Brighton-and-Hove-Albion,
Yankuba Minteh,gm GAM,"FW,MF",20.0,7.0,5,406.0,4.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,1.5,2.3,17.0,12.0,54.0,0.22,0.22,0.44,0.22,0.44,0.18,0.34,0.52,0.18,0.52,Matches,Brighton-and-Hove-Albion,
Ferdi Kadioglu,tr TUR,"DF,MF",25.0,6.0,5,385.0,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.2,0.6,1.0,15.0,27.0,0.23,0.0,0.23,0.23,0.23,0.1,0.04,0.14,0.1,0.14,Matches,Brighton-and-Hove-Albion,
Joao Pedro,br BRA,"MF,FW",23.0,6.0,4,370.0,4.1,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,1.7,1.7,1.3,3.0,17.0,19.0,21.0,0.97,0.49,1.46,0.97,1.46,0.4,0.32,0.73,0.4,0.73,Matches,Brighton-and-Hove-Albion,
James Milner,eng ENG,MF,38.0,3.0,3,169.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.21,0.09,0.21,Matches,Brighton-and-Hove-Albion,
Mats Wieffer,nl NED,MF,25.0,8.0,2,264.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,4.0,18.0,5.0,0.0,0.34,0.34,0.0,0.34,0.06,0.05,0.11,0.06,0.11,Matches,Brighton-and-Hove-Albion,
Simon Adingra,ci CIV,"FW,MF",22.0,8.0,2,232.0,2.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,10.0,5.0,45.0,0.39,0.39,0.78,0.39,0.78,0.13,0.19,0.31,0.13,0.31,Matches,Brighton-and-Hove-Albion,
Jason Steele,eng ENG,GK,34.0,2.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton-and-Hove-Albion,
Adam Webster,eng ENG,DF,29.0,3.0,2,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton-and-Hove-Albion,
Evan Ferguson,ie IRL,FW,20.0,7.0,1,110.0,1.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,1.0,3.0,0.82,0.0,0.82,0.82,0.82,0.12,0.0,0.12,0.12,0.12,Matches,Brighton-and-Hove-Albion,
Billy Gilmour,sct SCO,MF,23.0,2.0,1,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Brighton-and-Hove-Albion,
Julio Enciso,py PAR,"MF,FW",20.0,7.0,0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.17,0.2,0.37,0.17,0.37,Matches,Brighton-and-Hove-Albion,
Brajan Gruda,de GER,MF,20.0,4.0,0,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches,Brighton-and-Hove-Albion,
Matt O'Riley,dk DEN,MF,24.0,2.0,0,50.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,1.0,3.0,1.8,0.0,1.8,1.8,1.8,1.01,0.0,1.01,1.01,1.01,Matches,Brighton-and-Hove-Albion,
Tariq Lamptey,gh GHA,DF,24.0,1.0,0,11.0,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,1.0,0.0,8.18,8.18,0.0,8.18,0.0,0.62,0.62,0.0,0.62,Matches,Brighton-and-Hove-Albion,
Jeremy Sarmiento,ec ECU,MF,22.0,1.0,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton-and-Hove-Albion,
Jakub Moder,pl POL,MF,25.0,2.0,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,Brighton-and-Hove-Albion,
Valentin Barco,ar ARG,DF,20.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton-and-Hove-Albion,
Killian Cahill,ie IRL,GK,21.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton-and-Hove-Albion,
Ruairi Mcconville,nir NIR,DF,19.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton-and-Hove-Albion,
Mark O'Mahony,ie IRL,FW,19.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton-and-Hove-Albion,
Carl Rushworth,eng ENG,GK,23.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton-and-Hove-Albion,
Imari Samuels,eng ENG,DF,21.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton-and-Hove-Albion,
