Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Playing Time
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
Mats Wieffer,nl NED,MF,25-014,9.0,2,283.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.4,4.0,20.0,5.0,0.0,0.32,0.32,0.0,0.32,0.08,0.04,0.12,0.08,0.12,Matches,Brighton-and-Hove-Albion,
Simon Adingra,ci CIV,"FW,MF",22-334,9.0,2,251.0,2.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,0.9,10.0,5.0,49.0,0.36,0.36,0.72,0.36,0.72,0.13,0.21,0.33,0.13,0.33,Matches,Brighton-and-Hove-Albion,
Jason Steele,eng ENG,GK,34-104,2.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton-and-Hove-Albion,
Adam Webster,eng ENG,DF,29-331,3.0,2,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton-and-Hove-Albion,
Evan Ferguson,ie IRL,FW,20-042,8.0,1,122.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,1.0,5.0,0.74,0.0,0.74,0.74,0.74,0.11,0.0,0.11,0.11,0.11,Matches,Brighton-and-Hove-Albion,
Matt O'Riley,dk DEN,MF,24-009,3.0,1,121.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,1.0,6.0,5.0,0.74,0.0,0.74,0.74,0.74,0.44,0.0,0.44,0.44,0.44,Matches,Brighton-and-Hove-Albion,
Billy Gilmour,sct SCO,MF,23-172,2.0,1,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Brighton-and-Hove-Albion,
Tariq Lamptey,gh GHA,DF,24-061,2.0,1,82.0,0.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,4.0,1.0,4.0,0.0,2.2,2.2,0.0,2.2,0.0,0.22,0.22,0.0,0.22,Matches,Brighton-and-Hove-Albion,
Julio Enciso,py PAR,"MF,FW",20-312,7.0,0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.17,0.2,0.37,0.17,0.37,Matches,Brighton-and-Hove-Albion,
Brajan Gruda,de GER,MF,20-183,4.0,0,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches,Brighton-and-Hove-Albion,
Jeremy Sarmiento,ec ECU,MF,22-167,1.0,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton-and-Hove-Albion,
Jakub Moder,pl POL,MF,25-237,2.0,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,Brighton-and-Hove-Albion,
Valentín Barco,ar ARG,DF,20-130,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton-and-Hove-Albion,
Killian Cahill,ie IRL,GK,21-027,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton-and-Hove-Albion,
Ruairi Mcconville,nir NIR,DF,19-213,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton-and-Hove-Albion,
Mark O'Mahony,ie IRL,FW,19-321,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton-and-Hove-Albion,
Carl Rushworth,eng ENG,GK,23-151,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton-and-Hove-Albion,
Imari Samuels,eng ENG,DF,21-299,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton-and-Hove-Albion,
Jacob Slater,eng ENG,MF,20-056,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton-and-Hove-Albion,
Squad Total,,,26.0,13.0,143,1170.0,13.0,22.0,15.0,37.0,22.0,0.0,0.0,30.0,1.0,19.0,19.0,13.2,32.2,264.0,570.0,565.0,1.69,1.15,2.85,1.69,2.85,1.46,1.02,2.48,1.46,2.48,,Brighton-and-Hove-Albion,
Opponent Total,,,26.5,13.0,143,1170.0,13.0,17.0,11.0,28.0,15.0,2.0,2.0,37.0,3.0,21.0,19.4,17.4,36.7,222.0,447.0,443.0,1.31,0.85,2.15,1.15,2.0,1.61,1.33,2.95,1.49,2.83,,Brighton-and-Hove-Albion,
Ederson,br BRA,GK,31-105,12.0,12,1080.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4,0.4,0.0,1.0,0.0,0.0,0.08,0.08,0.0,0.08,0.0,0.03,0.03,0.0,0.03,Matches,Manchester-City,
Erling Haaland,no NOR,FW,24-132,12.0,12,1079.0,12.0,12.0,0.0,12.0,11.0,1.0,1.0,2.0,0.0,11.9,11.1,0.6,11.7,9.0,6.0,48.0,1.0,0.0,1.0,0.92,0.92,0.99,0.05,1.04,0.92,0.97,Matches,Manchester-City,
Joško Gvardiol,hr CRO,DF,22-312,12.0,11,1032.0,11.5,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.9,0.9,1.5,2.5,35.0,113.0,41.0,0.26,0.0,0.26,0.26,0.26,0.08,0.13,0.22,0.08,0.22,Matches,Manchester-City,
Bernardo Silva,pt POR,"MF,FW",30-112,12.0,10,926.0,10.3,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,1.5,1.5,3.1,4.5,49.0,55.0,101.0,0.0,0.29,0.29,0.0,0.29,0.14,0.3,0.44,0.14,0.44,Matches,Manchester-City,
Mateo Kovačić,hr CRO,MF,30-208,11.0,10,879.0,9.8,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,1.5,2.5,32.0,59.0,11.0,0.31,0.0,0.31,0.31,0.31,0.1,0.15,0.25,0.1,0.25,Matches,Manchester-City,
Manuel Akanji,ch SUI,DF,29-134,10.0,10,871.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.4,22.0,79.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches,Manchester-City,
Rico Lewis,eng ENG,"DF,MF",20-009,11.0,10,845.0,9.4,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.3,1.0,22.0,47.0,43.0,0.0,0.21,0.21,0.0,0.21,0.08,0.03,0.11,0.08,0.11,Matches,Manchester-City,
Rúben Dias,pt POR,DF,27-200,9.0,8,727.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.1,0.7,12.0,57.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches,Manchester-City,
İlkay Gündoğan,de GER,MF,34-037,11.0,8,716.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.1,2.5,20.0,48.0,45.0,0.0,0.13,0.13,0.0,0.13,0.17,0.14,0.32,0.17,0.32,Matches,Manchester-City,
Sávio,br BRA,"FW,MF",20-234,9.0,8,599.0,6.7,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.8,1.8,3.4,5.2,63.0,30.0,96.0,0.0,0.3,0.3,0.0,0.3,0.27,0.51,0.78,0.27,0.78,Matches,Manchester-City,
Kyle Walker,eng ENG,DF,34-186,8.0,6,559.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,9.0,41.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.09,0.02,0.09,Matches,Manchester-City,
Phil Foden,eng ENG,"MF,FW",24-186,9.0,5,552.0,6.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,2.2,3.6,14.0,33.0,48.0,0.0,0.16,0.16,0.0,0.16,0.22,0.36,0.58,0.22,0.58,Matches,Manchester-City,
Jeremy Doku,be BEL,"FW,MF",22-187,8.0,5,407.0,4.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,1.2,1.6,66.0,19.0,83.0,0.22,0.22,0.44,0.22,0.44,0.09,0.27,0.36,0.09,0.36,Matches,Manchester-City,
Kevin De Bruyne,be BEL,MF,33-155,6.0,4,390.0,4.3,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,1.9,3.2,14.0,55.0,46.0,0.23,0.23,0.46,0.23,0.46,0.3,0.45,0.75,0.3,0.75,Matches,Manchester-City,
Jack Grealish,eng ENG,"FW,MF",29-081,8.0,4,363.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,1.1,1.7,48.0,17.0,71.0,0.0,0.25,0.25,0.0,0.25,0.13,0.28,0.42,0.13,0.42,Matches,Manchester-City,
Matheus Nunes,pt POR,"MF,FW",26-095,8.0,3,293.0,3.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.5,1.6,16.0,18.0,55.0,0.0,0.61,0.61,0.0,0.61,0.03,0.46,0.49,0.03,0.49,Matches,Manchester-City,
